accession	domain	phylum	class	order	family	genus	species	cutacc	assembly_status	refseq_category	taxonomy_check_status	match_status	completeness	completeness_percentile	contamination	geo_loc_name	lat_lon	host	isolation_source	sample_type
RS_GCF_001314225.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001314225	GCF_001314225.1	current	NA	OK	genus_match	98.07	50	3.9	Japan: Kyoto	NA	NA	activated sludge	ncbi
GB_GCA_014197265.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium invictum	GCA_014197265.1	current	NA	OK	species_match	99.02	100	0.77	Portugal	missing	not applicable	missing	ncbi
GB_GCA_900078385.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900078385	GCA_900078385.1	current	NA	OK	genus_match	98.87	84.375	0.83	NA	NA	NA	This genome was reconstructed from an aerobic pyrene degrading enrichment culture grown from soil-compost microcosms, as described in Adam I.K. et al., under review. An uncontaminated and unfertilized agricultural soil (Ap horizon of a Haplic Chernozem) of the Static Fertilization Experiment Bad Lauchstädt (Germany) was supplemented with mature compost (Bio-Komp SAS Gmbh, Weizenfels, Germany) for biostimulation; the compost consisted of a mixture of vegetable and animal organic waste. Two stable enrichment cultures (UC1 and UC10) capable of total pyrene (spiked at a concentration of 100 mg/L) mineralization were obtained from the microscosm and shotgun sequenced (see Adam I.K. et al., under review 2016).	ncbi
RS_GCF_007992455.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium saccharophilum	GCF_007992455.1	current	reference genome	OK	species_match	99.38	100	0.36	Japan:Osaka	missing	NA	NA	reference
RS_GCF_003651225.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium telephonicum	GCF_003651225.1	current	reference genome	OK	below_threshold_mismatch	98.45	100	0.17	missing	missing	not applicable	missing	reference
RS_GCF_015350795.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015350795	GCF_015350795.1	current	NA	OK	genus_match	98.84	100	1.9	USA: San Francisco, California	missing	Poa annua	NA	ncbi
RS_GCF_001592125.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hominis	GCF_001592125.1	current	NA	OK	species_match	98.75	50	1.34	missing	missing	NA	NA	ncbi
RS_GCF_000411455.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000411455	GCF_000411455.1	current	NA	OK	genus_match	99.46	100	NA	NA	NA	NA	NA	ncbi
RS_GCF_003293595.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003293595	GCF_003293595.1	current	NA	OK	genus_match	99.29	100	1.49	Brazil: Florianopolis, Vargem Pequena	NA	NA	bermuda grass rhizosphere	ncbi
RS_GCF_016907555.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium laevaniformans	GCF_016907555.1	current	reference genome	OK	species_match	99.46	100	0.8	missing	missing	not applicable	missing	reference
RS_GCF_016907815.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium aurum	GCF_016907815.1	current	NA	OK	species_match	98.81	100	3.15	missing	missing	not applicable	missing	ncbi
GB_GCA_003248655.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003248655	GCA_003248655.1	current	NA	OK	genus_match	NA	NA	NA	USA: Pittsburgh, Pennsylvania Magee Womens Hospital	40.43682860 N 79.96068800 W	NA	hospital NICU surfaces and sink samples	ncbi
RS_GCF_016907295.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium dextranolyticum	GCF_016907295.1	current	reference genome	OK	species_match	98.5	100	2.95	missing	missing	not applicable	missing	reference
GB_GCA_001724425.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001724425	GCA_001724425.1	current	NA	OK	genus_match	92.54	100	1.16	South Africa: University of Cape Town, Rondebosch	33.96 S 18.46 E	NA	Cyanide and thiocyanate bioreactor	ncbi
RS_GCF_018717645.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium flavum	GCF_018717645.1	current	reference genome	OK	species_match	97.5	100	0.71	missing	missing	NA	missing	reference
GB_GCA_003248845.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003248845	GCA_003248845.1	current	NA	OK	genus_match	87.36	38.28125	1.66	USA: Pittsburgh, Pennsylvania Magee Womens Hospital	40.43682860 N 79.96068800 W	NA	hospital NICU surfaces and sink samples	ncbi
GB_GCA_017305435.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017305435	GCA_017305435.1	current	NA	OK	genus_match	97.68	82.8125	2.23	South Africa: Capetown	33.95 S 18.46 E	NA	biofilm fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate and no molasses at 250 mg/L thiocyanate	ncbi
RS_GCF_006716815.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium lacticum	GCF_006716815.1	current	reference genome	OK	species_match	98.57	100	3.04	missing	missing	not applicable	missing	reference
RS_GCF_015707995.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015707995	GCF_015707995.1	current	reference genome	OK	below_threshold_mismatch	98.83	100	2.08	Italy	45.05 N 9.70 E	NA	NA	reference
GB_GCA_001898315.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001898315	GCA_001898315.1	current	NA	OK	genus_match	98.88	100	2.42	South Africa: University of Cape Town	33.9575 S 18.4606 E	NA	Thiocyanate stock bioreactor	ncbi
GB_GCA_011620665.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp011620665	GCA_011620665.1	current	NA	OK	genus_match	94.85	63.28125	1.19	Germany: Wietze	52.659353 N 9.832481 E	NA	oil-contaminated soil	ncbi
RS_GCF_016807485.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp016807485	GCF_016807485.1	suppressed	NA	Inconclusive	below_threshold_mismatch	NA	NA	NA	India:Sikkim	27.59 N 88.37 E	NA	Glacier	suppressed
RS_GCF_001620065.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001620065	GCF_001620065.1	current	NA	OK	genus_match	97.42	100	1.58	Australia: Queensland, Bundi	26.07684948 S 149.71360016 E	NA	water from Great Artesian Basin bore well	ncbi
RS_GCF_007828185.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp007828185	GCF_007828185.1	suppressed	NA	NA	NA	NA	NA	NA	USA: California	38.5376 N 121.7644 W	not applicable	missing	suppressed
RS_GCF_014201255.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp014201255	GCF_014201255.1	suppressed	NA	NA	NA	NA	NA	NA	USA: Calhoun, Tennessee	missing	not applicable	missing	suppressed
RS_GCF_008710705.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium radiodurans	GCF_008710705.1	current	reference genome	OK	below_threshold_mismatch	99.46	100	1.91	missing	NA	NA	environmental	reference
RS_GCF_013389665.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oleivorans_C	GCF_013389665.1	current	NA	Inconclusive	below_threshold_mismatch	99.23	50	1.67	South Korea: Dok-do island	NA	NA	soil	ncbi
RS_GCF_017876655.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium imperiale	GCF_017876655.1	current	NA	OK	species_match	99.11	100	1.92	missing	missing	not applicable	missing	ncbi
RS_GCF_900102175.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900102175	GCF_900102175.1	current	NA	OK	genus_match	98.69	100	0.83	missing	missing	NA	NA	ncbi
RS_GCF_003610405.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003610405	GCF_003610405.1	current	NA	OK	genus_match	98.87	100	2.93	Italy	missing	not applicable	missing	ncbi
RS_GCF_003289625.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003289625	GCF_003289625.1	current	NA	OK	genus_match	98.57	100	1.9	India	NA	Papaver somniferum	Isolated as endophyte from roots of field grown Papaver somniferum plants of cv. Sampada	ncbi
RS_GCF_002245215.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002245215	GCF_002245215.1	current	NA	OK	genus_match	98.87	100	2.27	Oman: Muscat	NA	NA	soil	ncbi
RS_GCF_003339645.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium arborescens	GCF_003339645.1	suppressed	NA	Inconclusive	below_threshold_mismatch	NA	NA	NA	India: Bengaluru	NA	NA	missing	suppressed
RS_GCF_014204835.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium marinum	GCF_014204835.1	current	reference genome	OK	below_threshold_mismatch	98.04	100	0.36	missing	missing	not applicable	missing	reference
RS_GCF_001644225.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oleivorans_A	GCF_001644225.1	current	NA	Failed	mismatch	99.26	66.666664	NA	India: Chandigarh, PGIMER	NA	Homo sapiens	Duodenal mucosa of Celiac disease patient	ncbi
RS_GCF_001552475.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oleivorans	GCF_001552475.1	current	NA	OK	below_threshold_mismatch	99.38	100	0.57	missing	missing	NA	NA	ncbi
RS_GCF_000383475.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000383475	GCF_000383475.1	current	NA	OK	genus_match	99.34	100	NA	Missing	Missing	NA	NA	ncbi
RS_GCF_900102005.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp900102005	GCF_900102005.1	current	NA	OK	genus_match	99.25	100	0.12	missing	87.4100 N 37.2600 E	not applicable	missing	ncbi
RS_GCF_001691565.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oleivorans_B	GCF_001691565.1	current	NA	Inconclusive	below_threshold_mismatch	99.29	75	0.24	USA: Oklahoma, Stillwater	36.12 N 97.06 W	NA	NA	ncbi
RS_GCF_000956535.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium ginsengisoli	GCF_000956535.1	current	reference genome	OK	below_threshold_mismatch	98.18	100	8.18	South Korea: Pocheon	missing	NA	NA	reference
GB_GCA_015654575.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp015654575	GCA_015654575.1	current	NA	Inconclusive	below_threshold_mismatch	NA	NA	NA	Czech Republic: Zofinsky prales National Nature Reserve	48.66447093 N 14.70930505 E	NA	decomposing wood from intermixed hardwood and conifers	ncbi
RS_GCF_005347485.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp005347485	GCF_005347485.1	current	NA	OK	genus_match	98.93	100	2.21	Sweden: Lund	NA	NA	Contaminated agar plates (M9 medium with syringic acid as sole carbon source)	ncbi
RS_GCF_008727755.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium caowuchunii	GCF_008727755.1	current	reference genome	OK	below_threshold_mismatch	98.39	100	0.71	China: Qinghai province, Yushu, Hoh Xil	NA	Ochotona curzoniae (plateau pika)	NA	reference
RS_GCF_000799385.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000799385	GCF_000799385.1	suppressed	NA	NA	NA	NA	NA	NA	missing	not collected	NA	NA	suppressed
RS_GCF_902706225.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp902706225	GCF_902706225.1	current	NA	OK	genus_match	99.35	100	1.61	NA	NA	NA	NA	ncbi
RS_GCF_011047135.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium endophyticum	GCF_011047135.1	current	reference genome	OK	species_match	98.57	100	0.36	South Korea	NA	NA	soil	reference
RS_GCF_011761265.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium halimionae	GCF_011761265.1	current	NA	OK	species_match	98.99	100	1.07	missing	missing	not applicable	missing	ncbi
GB_GCA_017306415.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001897105	GCA_017306415.1	current	NA	OK	genus_match	98.72	92.1875	3.01	South Africa: Capetown	33.95 S 18.46 E	NA	planktonic fraction from bioreactor innoculated with Activated Sludge Tailings Effluent Remediation (ASTER); culture conditions: molasses with increasing thiocyanate and no molasses at 250 mg/L thiocyanate	ncbi
RS_GCF_000802305.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium mangrovi	GCF_000802305.1	current	reference genome	OK	below_threshold_mismatch	99.82	100	3.07	Malaysia	NA	NA	mangrove	reference
RS_GCF_004135285.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium protaetiae	GCF_004135285.1	current	reference genome	OK	below_threshold_mismatch	98.09	100	2.61	South Korea: Wanju-gun	NA	Protaetia brevitarsis seulensis larva	NA	reference
RS_GCF_000422405.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium luticocti	GCF_000422405.1	current	reference genome	OK	below_threshold_mismatch	99.29	100	NA	Portugal	NA	NA	NA	reference
RS_GCF_009649635.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp009649635	GCF_009649635.1	current	NA	OK	genus_match	98.39	100	NA	China:Heilngjiang Hegang	NA	NA	white birch soil of Hei Longjing China	ncbi
RS_GCF_003626735.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003626735	GCF_003626735.1	current	NA	OK	genus_match	98.61	100	1.22	Chile: Atacama Desert, Alto Andino	23.505 S 67.698 W	NA	NA	ncbi
RS_GCF_004794465.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004794465	GCF_004794465.1	current	NA	OK	genus_match	98.56	100	3.68	USA: Seymour, Indiana	NA	NA	soil	ncbi
RS_GCF_003075395.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp003075395	GCF_003075395.1	current	NA	OK	genus_match	98.75	100	1.87	USA: South Dakota	NA	NA	Bioreactor	ncbi
RS_GCF_000967865.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000967865	GCF_000967865.1	current	NA	OK	genus_match	99.42	100	1.76	Portugal: Samil, Tras-os-Montes	41.78 N 6.75 W	NA	NA	ncbi
RS_GCF_008868005.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium algeriense	GCF_008868005.1	current	reference genome	OK	below_threshold_mismatch	97.86	82.35294	0.83	Algeria	Not collected	NA	water oilfields	reference
RS_GCF_008271365.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp008271365	GCF_008271365.1	current	NA	OK	genus_match	97.43	100	0.08	Pakistan:Industrial wastewater, Punjab	NA	NA	wastewater	ncbi
RS_GCF_017939615.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017939615	GCF_017939615.1	current	NA	OK	genus_match	98.04	100	0.2	India	NA	NA	tannery effluent	ncbi
RS_GCF_002848265.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002848265	GCF_002848265.1	current	NA	Inconclusive	below_threshold_mismatch	91.77	100	2.83	India: Pangong Lake	NA	NA	Sediment Sample Pangong Lake	ncbi
RS_GCF_904066215.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002456035	GCF_904066215.1	current	NA	OK	genus_match	97.86	100	0.54	Algeria	36.87981 N 6.93111 E	NA	valley	ncbi
RS_GCF_019056515.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001595495	GCF_019056515.1	current	NA	Inconclusive	below_threshold_match	96.96	25	0.47	China:Quanzhou,Fujian	not available	Homo sapiens	cerebrospinal fluid	ncbi
RS_GCF_001866135.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001866135	GCF_001866135.1	current	NA	OK	genus_match	97.92	100	0.24	China: Beijing, Space Centre	NA	NA	Chinese spacecraft Shenzhou X	ncbi
RS_GCF_900105335.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium paraoxydans	GCF_900105335.1	current	reference genome	OK	species_match	97.62	35	NA	missing	missing	NA	NA	reference
RS_GCF_004794315.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004794315	GCF_004794315.1	current	NA	OK	genus_match	97.32	100	1.82	USA: Seymour, Indiana	NA	NA	soil	ncbi
RS_GCF_018224615.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium paraoxydans_B	GCF_018224615.1	current	NA	Inconclusive	below_threshold_mismatch	97.32	30	0.21	India: Telangana	NA	rice	root tissue	ncbi
RS_GCF_007954505.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000800925	GCF_007954505.1	current	NA	OK	genus_match	97.17	100	1.13	South Korea	NA	NA	kimchi	ncbi
RS_GCF_000425985.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp000425985	GCF_000425985.1	suppressed	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	suppressed
RS_GCF_002979435.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002979435	GCF_002979435.1	current	NA	OK	genus_match	97.23	100	2.99	Germany: Kiel	NA	Caenorhabditis elegans MY316	Rotting apple	ncbi
RS_GCF_002979475.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002979475	GCF_002979475.1	current	NA	OK	genus_match	99.46	100	0.86	Germany: Kiel	NA	Caenorhabditis elegans MY316	Rotting apple	ncbi
RS_GCF_014171575.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp014171575	GCF_014171575.1	current	NA	OK	genus_match	71.07	100	1.37	Antarctica	62.194829 S 58.969942 W	NA	NA	ncbi
RS_GCF_004794515.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004794515	GCF_004794515.1	current	NA	OK	genus_match	98.96	100	0.18	USA: Seymour, Indiana	NA	NA	soil	ncbi
RS_GCF_002979655.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002979655	GCF_002979655.1	current	NA	OK	genus_match	99.41	100	1.31	Germany: Kiel	NA	Caenorhabditis elegans MY316	Rotting apple	ncbi
RS_GCF_900095745.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oxydans_B	GCF_900095745.1	current	NA	Inconclusive	below_threshold_mismatch	99.58	92.30769	0.71	NA	NA	NA	NA	ncbi
GB_GCA_008868125.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium maritypicum	GCA_008868125.1	current	NA	OK	species_match	99.41	70.588234	0.6	Not collected	NA	NA	seawater and marine mud	ncbi
RS_GCF_000455825.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium maritypicum_A	GCF_000455825.1	current	NA	Inconclusive	below_threshold_match	99.41	70.588234	NA	USA: FL, Apalachicola Bay	NA	Crassostrea virginica	oyster mantle fluid	ncbi
RS_GCF_006540085.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oxydans	GCF_006540085.1	current	reference genome	OK	species_match	99.29	42.307693	2.68	missing	missing	NA	NA	reference
RS_GCF_000956405.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oxydans_C	GCF_000956405.1	current	NA	Inconclusive	below_threshold_match	90.12	7.6923075	1.07	Belgium: Lommel Field	51.21 N 5.24 E	Salix viminalis	NA	ncbi
RS_GCF_000956525.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium oxydans_A	GCF_000956525.1	current	NA	Inconclusive	below_threshold_mismatch	99.8	100	1.16	Belgium: Lommel Field	51.21 N 5.24 E	Brassica napus	NA	ncbi
RS_GCF_006716345.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium saperdae	GCF_006716345.1	current	reference genome	OK	below_threshold_mismatch	99.11	100	1.67	missing	missing	not applicable	missing	reference
GB_GCA_017405925.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017405925	GCA_017405925.1	current	NA	OK	genus_match	86.84	35.15625	1.19	not collected	not collected	goat	ruminant gastrointestinal tract	ncbi
RS_GCF_017355365.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017355365	GCF_017355365.1	current	NA	OK	genus_match	98.96	100	1.28	USA: Wind Cave National Park, South Dakota	43.57 N 103.44 W	NA	NA	ncbi
RS_GCF_002979415.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp002979415	GCF_002979415.1	current	NA	OK	genus_match	99.29	100	1.34	Germany: Kiel	NA	Caenorhabditis elegans MY316	Rotting apple	ncbi
RS_GCF_000956475.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium hydrocarbonoxydans_A	GCF_000956475.1	current	NA	Inconclusive	below_threshold_mismatch	98.75	33.333332	3.69	Portugal: Samil, Tras-os-Montes	41.78 N 6.75 W	Alyssum serpyllifolium ssp. lusitanicum	NA	ncbi
RS_GCF_004216995.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp004216995	GCF_004216995.1	suppressed	NA	NA	NA	NA	NA	NA	missing	missing	not applicable	missing	suppressed
GB_GCA_017744855.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp017744855	GCA_017744855.1	current	NA	OK	genus_match	78.69	21.09375	1.74	not collected	not collected	NA	sugarcane dry straw soil	ncbi
RS_GCF_001513675.1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium sp001513675	GCF_001513675.1	current	NA	OK	genus_match	97.68	100	1.28	China:Dalian	NA	NA	garden soil	ncbi
